aiport_id,airport_name,origin_state
462,CHILLICOTHE MUNICIPAL ARPT,Missouri
463,PLYMOUTH MUNICIPAL ARPT (MA),Massachusetts
464,BOISE AIR TERMINAL/GOWEN FIELD,Idaho
465,ANOKA COUNTY-BLAINE,Minnesota
466,HAGERSTOWN REGIONAL,Maryland
467,USAF ACADEMY BULLSEYE AUX AIRSTRIP,Colorado
468,GLASGOW INTL/WOKAL FIELD,Montana
469,MONMOUTH EXECUTIVE ARPT,New Jersey
470,QUEBEC/JEAN LESAGE INTL,Quebec
471,ELK GROVE ARPT,California
472,LAKE CHARLES REGIONAL,Louisiana
473,WINDHAM ARPT,Connecticut
474,HUNTINGBURG ARPT,Indiana
475,DUTCHESS COUNTY ARPT,New York
476,FERANDINA BEACH MUNICIPAL ARPT,Florida
477,HOBBY FIELD ARPT,Oregon
478,CAPE MAY COUNTY ARPT,New Jersey
479,SALINA MUNICIPAL,Kansas
480,BETHEL ARPT,Alaska
481,GLADEWATER MUNICIPAL ARPT,Texas
482,CALI/VALLE,
483,CANCUN INTL,
484,OCONEE COUNTY REGIONAL ARPT,South Carolina
485,KETCHIKAN INTL ARPT,Alaska
486,TWEED-NEW HAVEN ARPT,Connecticut
487,GALLATIN FIELD ARPT,Montana
488,PINAL AIRPARK,Arizona
489,MARTHAS VINEYARD,Massachusetts
490,BROOKINGS MUNICIPAL ARPT,South Dakota
491,EAST HAMPTON ARPT,New York
492,NATRONA COUNTY INTL,Wyoming
493,FINDLAY ARPT,Ohio
494,ROGERS MUNICIPAL ARPT-CARTER FIELD,Arkansas
495,FULLERTON MUNICIPAL ARPT,California
496,ST CLAIR COUNTY INTL ARPT,Michigan
497,KINGS LAND O' LAKES ARPT,Wisconsin
498,RAPID CITY REGIONAL,South Dakota
499,AURORA MUNICIPAL ARPT,Illinois
500,RICKENBACKER INTL,Ohio
501,SANTIAGO CIBAO INTL,
502,NORTH CENTRAL WEST VIRGINIA ARPT,West Virginia
503,KONGIGANAK ARPT,Alaska
504,WESTERLY STATE ARPT,Rhode Island
505,CAPE GIRARDEAU MUNICIPAL,Missouri
506,KALAELOA ARPT JOHN RODGERS FIELD,Hawaii
507,JUAN SANTAMARIA INTL,
508,ERNEST A LOVE FIELD,Arizona
509,SANTA FE DE BOGOTA,
510,KENDALL-TAMIAMI EXECUTIVE ARPT,Florida
511,GRAND RAPIDS/ITASCA COUNTY ARPT,Minnesota
512,ADDINGTON FIELD ARPT,Kentucky
513,WILLMAR MUNICIPAL,Minnesota
514,MC ALLEN MILLER INTL,Texas
515,PALESTINE MUNICIPAL ARPT,Texas
516,WHEELER-SACK ARMY AIRFIELD,New York
517,CLEVELAND MUNICIPAL ARPT,Mississippi
518,DEMOPOLIS MUNICIPAL ARPT,Alabama
519,NEW CENTURY AIRCENTER ARPT,Kansas
520,FORT DODGE REGIONAL,Iowa
521,ARNOLD PALMER REGIONAL,Pennsylvania
522,BRANSON ARPT,Missouri
523,LAREDO INTL,Texas
524,FRIDAY HARBOR ARPT,Washington
525,WENDOVER ARPT,Utah
526,ROBT L BRADSHAW INTL,
527,ALTOONA-BLAIR COUNTY,Pennsylvania
528,REDDING MUNICIPAL,California
529,BILLINGS LOGAN INTL,Montana
530,PHOENIX-MESA GATEWAY,Arizona
531,COLD BAY ARPT,Alaska
532,RAFAEL HERNANDEZ ARPT,
533,DELTA COUNTY ARPT,Michigan
534,BOWERMAN ARPT,Washington
535,KEY FLD,Mississippi
536,BELLEVILLE MUNICIPAL,Kansas
537,MONROE COUNTY,Indiana
538,COLUMBIA REGIONAL,Missouri
539,FORT WORTH SPINKS ARPT,Texas
540,PUNTA GORDA ARPT,Florida
541,DULUTH INTL ARPT,Minnesota
542,WILLIAM B HEILIG FIELD,Nebraska
543,PHOENIX GOODYEAR ARPT,Arizona
544,JAMES CLEMENTS MUNICIPAL ARPT,Michigan
545,ALEXANDRIA INTL,Louisiana
546,GARY CHICAGO INTL,Indiana
547,CAPE COD COAST GUARD AIR STATION,Massachusetts
548,GREENVILLE DOWNTOWN ARPT,South Carolina
